,work_year,,,,salary,,salary_in_usd,,remote_ratio
71,2020,,,,37000,,42197,,50
72,2021,,,,60000,,82528,,50
73,2021,,,,150000,,150000,,100
74,2021,,,,235000,,235000,,100
75,2021,,,,45000,,53192,,50
76,2021,,,,100000,,100000,,100
77,2021,,,,400000,,5409,,50
78,2021,,,,270000,,270000,,100
79,2021,,,,80000,,80000,,100
80,2021,,,,67000,,79197,,100
81,2021,,,,140000,,140000,,100
82,2021,,,,68000,,54238,,50
83,2021,,,,40000,,47282,,100
84,2021,,,,130000,,153667,,100
85,2021,,,,110000,,28476,,100
86,2021,,,,50000,,59102,,50
87,2021,,,,110000,,110000,,100
88,2021,,,,170000,,170000,,100
89,2021,,,,80000,,80000,,100
90,2021,,,,75000,,88654,,100
91,2021,,,,65000,,76833,,100
92,2021,,,,1450000,,19609,,100
93,2021,,,,276000,,276000,,0
94,2021,,,,2200000,,29751,,50
95,2021,,,,120000,,89294,,50
96,2021,,,,12000,,12000,,100
97,2021,,,,450000,,450000,,100
98,2021,,,,70000,,70000,,100
99,2021,,,,81000,,95746,,100
100,2021,,,,75000,,75000,,0
101,2021,,,,150000,,150000,,100
102,2021,,,,11000000,,36259,,50
103,2021,,,,62000,,62000,,0
104,2021,,,,73000,,73000,,0
105,2021,,,,37456,,51519,,50
106,2021,,,,235000,,187442,,100
107,2021,,,,115000,,115000,,100
108,2021,,,,150000,,150000,,100
109,2021,,,,2250000,,30428,,100
110,2021,,,,80000,,94564,,50
111,2021,,,,82500,,113476,,100
112,2021,,,,75000,,103160,,100
113,2021,,,,12000,,12000,,100
114,2021,,,,38400,,45391,,100
115,2021,,,,225000,,225000,,100
116,2021,,,,50000,,50000,,100
117,2021,,,,34000,,40189,,100
118,2021,,,,90000,,90000,,100
119,2021,,,,200000,,200000,,100
120,2021,,,,60000,,60000,,50
121,2021,,,,200000,,200000,,100
122,2021,,,,50000,,50000,,100
123,2021,,,,80000,,110037,,0
124,2021,,,,8760,,10354,,50
125,2021,,,,151000,,151000,,100
126,2021,,,,120000,,120000,,50
127,2021,,,,700000,,9466,,0
128,2021,,,,20000,,20000,,100
129,2021,,,,3000000,,40570,,50
130,2021,,,,100000,,100000,,50
131,2021,,,,42000,,49646,,50
132,2021,,,,38400,,38400,,100
133,2021,,,,24000,,24000,,100
134,2021,,,,100000,,100000,,0
135,2021,,,,90000,,90000,,100
136,2021,,,,7000000,,63711,,50
137,2021,,,,8500000,,77364,,50
138,2021,,,,220000,,220000,,0
139,2021,,,,80000,,80000,,100
140,2021,,,,135000,,135000,,100
141,2021,,,,240000,,240000,,0
142,2021,,,,150000,,150000,,0
143,2021,,,,82500,,82500,,100
144,2021,,,,100000,,100000,,100
145,2021,,,,70000,,82744,,50
146,2021,,,,53000,,62649,,50
147,2021,,,,90000,,90000,,100
148,2021,,,,153000,,153000,,100
149,2021,,,,160000,,160000,,100
150,2021,,,,168000,,168000,,0
151,2021,,,,150000,,150000,,100
152,2021,,,,95000,,75774,,100
153,2021,,,,13400,,13400,,100
154,2021,,,,144000,,144000,,100
155,2021,,,,159500,,127221,,50
156,2021,,,,160000,,119059,,100
157,2021,,,,423000,,423000,,50
158,2021,,,,120000,,120000,,100
159,2021,,,,125000,,125000,,100
160,2021,,,,230000,,230000,,50
161,2021,,,,85000,,85000,,0
162,2021,,,,24000,,28369,,50
163,2021,,,,54000,,63831,,50
164,2021,,,,110000,,130026,,50
165,2021,,,,165000,,165000,,100
166,2021,,,,80000,,80000,,100
167,2021,,,,250000,,250000,,0
168,2021,,,,55000,,55000,,50
169,2021,,,,150000,,150000,,100
170,2021,,,,170000,,170000,,100
171,2021,,,,60000,,82528,,100
172,2021,,,,60000,,60000,,100
173,2021,,,,235000,,235000,,100
174,2021,,,,51400,,60757,,50
175,2021,,,,174000,,174000,,100
176,2021,,,,58000,,2859,,0
177,2021,,,,30400000,,40038,,100
178,2021,,,,81000,,81000,,50
179,2021,,,,420000,,5679,,100
180,2021,,,,1672000,,22611,,0
181,2021,,,,76760,,90734,,50
182,2021,,,,22000,,26005,,0
183,2021,,,,45000,,61896,,50
184,2021,,,,12000,,12000,,50
185,2021,,,,4000,,4000,,100
186,2021,,,,50000,,50000,,100
187,2021,,,,59000,,69741,,100
188,2021,,,,65000,,76833,,50
189,2021,,,,74000,,74000,,50
190,2021,,,,152000,,152000,,100
191,2021,,,,21844,,21844,,50
192,2021,,,,18000,,18000,,0
193,2021,,,,174000,,174000,,100
194,2021,,,,120500,,96113,,50
195,2021,,,,147000,,147000,,50
196,2021,,,,9272,,9272,,100
197,2021,,,,1799997,,24342,,100
198,2021,,,,4000000,,54094,,50
199,2021,,,,90000,,90000,,100
200,2021,,,,52000,,61467,,50
201,2021,,,,195000,,195000,,100
202,2021,,,,32000,,37825,,100
203,2021,,,,50000,,50000,,100
204,2021,,,,160000,,160000,,100
205,2021,,,,69600,,12901,,0
206,2021,,,,200000,,200000,,100
207,2021,,,,165000,,165000,,0
208,2021,,,,20000,,20000,,0
209,2021,,,,120000,,120000,,0
210,2021,,,,21000,,24823,,50
211,2021,,,,48000,,56738,,50
212,2021,,,,48000,,66022,,50
213,2021,,,,435000,,5882,,0
214,2021,,,,21000,,24823,,50
215,2021,,,,185000,,185000,,100
216,2021,,,,180000,,28609,,50
217,2021,,,,76760,,90734,,50
218,2021,,,,75000,,88654,,100
219,2021,,,,140000,,140000,,100
220,2021,,,,180000,,46597,,100
221,2021,,,,85000,,116914,,50
222,2021,,,,2500000,,33808,,0
223,2021,,,,40900,,56256,,50
224,2021,,,,225000,,225000,,100
225,2021,,,,416000,,416000,,100
226,2021,,,,110000,,87738,,100
227,2021,,,,75000,,88654,,50
228,2021,,,,135000,,135000,,0
229,2021,,,,90000,,71786,,100
230,2021,,,,1200000,,16228,,100
231,2021,,,,256000,,256000,,100
232,2021,,,,200000,,200000,,100
233,2021,,,,200000,,200000,,100
234,2021,,,,180000,,180000,,100
235,2021,,,,110000,,110000,,0
236,2021,,,,80000,,63810,,100
237,2021,,,,39600,,46809,,100
238,2021,,,,4000,,4000,,0
239,2021,,,,1600000,,21637,,50
240,2021,,,,130000,,103691,,100
241,2021,,,,80000,,80000,,100
242,2021,,,,110000,,110000,,100
243,2021,,,,165000,,165000,,100
244,2021,,,,1335000,,18053,,100
245,2021,,,,52500,,72212,,50
246,2021,,,,31000,,36643,,50
247,2021,,,,108000,,12103,,0
248,2021,,,,70000,,96282,,50
249,2021,,,,170000,,170000,,100
250,2021,,,,115000,,115000,,50
251,2021,,,,90000,,90000,,100
252,2021,,,,600000,,600000,,100
253,2021,,,,2100000,,28399,,100
254,2021,,,,93000,,93000,,100
255,2021,,,,125000,,99703,,50
256,2021,,,,200000,,200000,,100
257,2021,,,,147000,,173762,,100
258,2021,,,,185000,,185000,,50
259,2021,,,,120000,,141846,,0
260,2021,,,,130000,,130000,,50
261,2021,,,,54000,,63831,,50
262,2021,,,,1250000,,16904,,100
263,2021,,,,4900000,,66265,,0
264,2021,,,,21600,,25532,,100
265,2021,,,,160000,,160000,,50
266,2021,,,,93150,,93150,,0
267,2021,,,,111775,,111775,,0
268,2021,,,,250000,,28016,,100
269,2021,,,,55000,,65013,,50
270,2021,,,,72500,,72500,,100
271,2021,,,,102000,,18907,,0
272,2021,,,,65000,,76833,,0
273,2021,,,,85000,,85000,,100
274,2021,,,,65720,,77684,,50
275,2021,,,,100000,,100000,,100
276,2021,,,,58000,,58000,,50
277,2021,,,,55000,,55000,,100
278,2021,,,,180000,,20171,,50
279,2021,,,,50000,,59102,,100
280,2021,,,,112000,,112000,,100
281,2021,,,,100000,,100000,,0
282,2021,,,,59000,,69741,,100
283,2021,,,,105000,,105000,,100
284,2021,,,,69999,,69999,,50
285,2021,,,,7000000,,94665,,50
286,2021,,,,87000,,102839,,100
287,2021,,,,109000,,109000,,50
288,2021,,,,43200,,51064,,50
289,2022,,,,135000,,135000,,100
290,2022,,,,155000,,155000,,100
291,2022,,,,120600,,120600,,100
292,2022,,,,130000,,130000,,0
293,2022,,,,90000,,90000,,0
294,2022,,,,170000,,170000,,100
295,2022,,,,150000,,150000,,100
296,2022,,,,102100,,102100,,100
297,2022,,,,84900,,84900,,100
298,2022,,,,136620,,136620,,100
299,2022,,,,99360,,99360,,100
300,2022,,,,90000,,117789,,0
301,2022,,,,80000,,104702,,0
302,2022,,,,146000,,146000,,100
303,2022,,,,123000,,123000,,100
304,2022,,,,40000,,52351,,100
305,2022,,,,99000,,99000,,0
306,2022,,,,116000,,116000,,0
307,2022,,,,106260,,106260,,0
308,2022,,,,126500,,126500,,0
309,2022,,,,242000,,242000,,100
310,2022,,,,200000,,200000,,100
311,2022,,,,50000,,65438,,0
312,2022,,,,30000,,39263,,0
313,2022,,,,60000,,78526,,0
314,2022,,,,40000,,52351,,0
315,2022,,,,165220,,165220,,100
316,2022,,,,35000,,45807,,100
317,2022,,,,120160,,120160,,100
318,2022,,,,90320,,90320,,100
319,2022,,,,181940,,181940,,0
320,2022,,,,132320,,132320,,0
321,2022,,,,220110,,220110,,0
322,2022,,,,160080,,160080,,0
323,2022,,,,180000,,180000,,0
324,2022,,,,120000,,120000,,0
325,2022,,,,124190,,124190,,100
326,2022,,,,130000,,130000,,100
327,2022,,,,110000,,110000,,100
328,2022,,,,170000,,170000,,100
329,2022,,,,115500,,115500,,100
330,2022,,,,112900,,112900,,100
331,2022,,,,90320,,90320,,100
332,2022,,,,112900,,112900,,100
333,2022,,,,90320,,90320,,100
334,2022,,,,165400,,165400,,100
335,2022,,,,132320,,132320,,100
336,2022,,,,167000,,167000,,100
337,2022,,,,243900,,243900,,100
338,2022,,,,136600,,136600,,100
339,2022,,,,109280,,109280,,100
340,2022,,,,128875,,128875,,100
341,2022,,,,93700,,93700,,100
342,2022,,,,224000,,224000,,100
343,2022,,,,167875,,167875,,100
344,2022,,,,175000,,175000,,100
345,2022,,,,156600,,156600,,100
346,2022,,,,108800,,108800,,0
347,2022,,,,95550,,95550,,0
348,2022,,,,113000,,113000,,0
349,2022,,,,135000,,135000,,100
350,2022,,,,161342,,161342,,100
351,2022,,,,137141,,137141,,100
352,2022,,,,167000,,167000,,100
353,2022,,,,123000,,123000,,100
354,2022,,,,60000,,78526,,0
355,2022,,,,50000,,65438,,0
356,2022,,,,150000,,150000,,0
357,2022,,,,211500,,211500,,100
358,2022,,,,192400,,192400,,100
359,2022,,,,90700,,90700,,100
360,2022,,,,130000,,130000,,100
361,2022,,,,61300,,61300,,100
362,2022,,,,130000,,130000,,100
363,2022,,,,61300,,61300,,100
364,2022,,,,160000,,160000,,0
365,2022,,,,138600,,138600,,100
366,2022,,,,136000,,136000,,0
367,2022,,,,58000,,58000,,0
368,2022,,,,135000,,135000,,100
369,2022,,,,170000,,170000,,100
370,2022,,,,123000,,123000,,100
371,2022,,,,189650,,189650,,0
372,2022,,,,164996,,164996,,0
373,2022,,,,50000,,54957,,0
374,2022,,,,50000,,54957,,0
375,2022,,,,150000,,118187,,100
376,2022,,,,132000,,132000,,0
377,2022,,,,165400,,165400,,100
378,2022,,,,208775,,208775,,100
379,2022,,,,147800,,147800,,100
380,2022,,,,136994,,136994,,100
381,2022,,,,101570,,101570,,100
382,2022,,,,128875,,128875,,100
383,2022,,,,93700,,93700,,100
384,2022,,,,6000000,,79039,,50
385,2022,,,,132320,,132320,,100
386,2022,,,,28500,,37300,,100
387,2022,,,,164000,,164000,,0
388,2022,,,,155000,,155000,,100
389,2022,,,,95000,,124333,,0
390,2022,,,,75000,,98158,,0
391,2022,,,,120000,,120000,,0
392,2022,,,,112900,,112900,,100
393,2022,,,,90320,,90320,,100
394,2022,,,,145000,,145000,,100
395,2022,,,,105400,,105400,,100
396,2022,,,,80000,,87932,,100
397,2022,,,,90000,,117789,,0
398,2022,,,,215300,,215300,,100
399,2022,,,,158200,,158200,,100
400,2022,,,,209100,,209100,,100
401,2022,,,,154600,,154600,,100
402,2022,,,,115934,,115934,,0
403,2022,,,,81666,,81666,,0
404,2022,,,,175000,,175000,,100
405,2022,,,,75000,,98158,,0
406,2022,,,,58000,,58000,,0
407,2022,,,,183600,,183600,,100
408,2022,,,,40000,,52351,,100
409,2022,,,,180000,,180000,,100
410,2022,,,,55000,,71982,,0
411,2022,,,,35000,,45807,,0
412,2022,,,,60000,,65949,,100
413,2022,,,,45000,,49461,,100
414,2022,,,,60000,,78526,,100
415,2022,,,,45000,,58894,,100
416,2022,,,,260000,,260000,,100
417,2022,,,,60000,,60000,,100
418,2022,,,,63900,,63900,,0
419,2022,,,,160000,,160000,,100
420,2022,,,,112300,,112300,,100
421,2022,,,,241000,,241000,,100
422,2022,,,,159000,,159000,,100
423,2022,,,,180000,,180000,,0
424,2022,,,,80000,,80000,,0
425,2022,,,,82900,,82900,,0
426,2022,,,,100800,,100800,,100
427,2022,,,,45000,,49461,,100
428,2022,,,,140400,,140400,,0
429,2022,,,,30000,,39263,,100
430,2022,,,,40000,,43966,,100
431,2022,,,,30000,,32974,,100
432,2022,,,,80000,,87932,,100
433,2022,,,,70000,,76940,,100
434,2022,,,,80000,,104702,,100
435,2022,,,,70000,,91614,,100
436,2022,,,,60000,,65949,,100
437,2022,,,,80000,,87932,,100
438,2022,,,,189650,,189650,,0
439,2022,,,,164996,,164996,,0
440,2022,,,,40000,,43966,,100
441,2022,,,,30000,,32974,,100
442,2022,,,,75000,,98158,,100
443,2022,,,,60000,,78526,,100
444,2022,,,,215300,,215300,,0
445,2022,,,,70000,,76940,,100
446,2022,,,,209100,,209100,,100
447,2022,,,,154600,,154600,,100
448,2022,,,,180000,,180000,,100
449,2022,,,,20000,,21983,,100
450,2022,,,,80000,,80000,,100
451,2022,,,,100000,,78791,,100
452,2022,,,,250000,,196979,,50
453,2022,,,,120000,,120000,,100
454,2022,,,,125000,,125000,,0
455,2022,,,,240000,,37236,,50
456,2022,,,,105000,,105000,,100
457,2022,,,,80000,,87932,,0
458,2022,,,,1400000,,18442,,100
459,2022,,,,2400000,,31615,,100
460,2022,,,,53000,,58255,,50
461,2022,,,,100000,,100000,,50
462,2022,,,,50000,,54957,,50
463,2022,,,,1400000,,18442,,100
464,2022,,,,148000,,162674,,100
465,2022,,,,120000,,120000,,100
466,2022,,,,144000,,144000,,50
467,2022,,,,104890,,104890,,100
468,2022,,,,100000,,100000,,100
469,2022,,,,140000,,140000,,100
470,2022,,,,135000,,135000,,100
471,2022,,,,50000,,50000,,100
472,2022,,,,220000,,220000,,100
473,2022,,,,140000,,140000,,100
474,2022,,,,140000,,183228,,0
475,2022,,,,70000,,91614,,0
476,2022,,,,185100,,185100,,100
477,2022,,,,220000,,220000,,100
478,2022,,,,200000,,200000,,100
479,2022,,,,120000,,120000,,100
480,2022,,,,120000,,120000,,100
481,2022,,,,65000,,65000,,100
482,2022,,,,324000,,324000,,100
483,2022,,,,216000,,216000,,100
484,2022,,,,210000,,210000,,100
485,2022,,,,120000,,120000,,100
486,2022,,,,230000,,230000,,100
487,2022,,,,100000,,100000,,50
488,2022,,,,100000,,100000,,100
489,2022,,,,29000,,31875,,100
490,2022,,,,200000,,200000,,100
491,2022,,,,75000,,75000,,100
492,2022,,,,150000,,35590,,100
493,2022,,,,100000,,78791,,100
494,2022,,,,100000,,100000,,100
495,2022,,,,153000,,153000,,50
496,2022,,,,52800,,58035,,100
497,2022,,,,165000,,165000,,100
498,2022,,,,85000,,93427,,50
499,2022,,,,66500,,52396,,100
500,2022,,,,57000,,62651,,100
501,2022,,,,30000,,32974,,100
502,2022,,,,40000,,40000,,100
503,2022,,,,121000,,87425,,100
504,2022,,,,115000,,115000,,100
505,2022,,,,120000,,86703,,50
506,2022,,,,75000,,75000,,100
507,2022,,,,59000,,64849,,0
508,2022,,,,120000,,120000,,100
509,2022,,,,157000,,157000,,100
510,2022,,,,150000,,150000,,100
511,2022,,,,90000,,70912,,50
512,2022,,,,65000,,65000,,100
513,2022,,,,65000,,71444,,100
514,2022,,,,20000,,20000,,0
515,2022,,,,48000,,48000,,100
516,2022,,,,152500,,152500,,100
517,2022,,,,62000,,68147,,100
518,2022,,,,115000,,122346,,0
519,2022,,,,380000,,380000,,100
520,2022,,,,88000,,69336,,100
521,2022,,,,10000,,10000,,100
522,2022,,,,20000,,20000,,100
523,2022,,,,405000,,405000,,100
524,2022,,,,135000,,135000,,100
525,2022,,,,177000,,177000,,100
526,2022,,,,78000,,78000,,100
527,2022,,,,135000,,135000,,100
528,2022,,,,100000,,100000,,100
529,2022,,,,90320,,90320,,100
530,2022,,,,85000,,85000,,0
531,2022,,,,75000,,75000,,0
532,2022,,,,214000,,214000,,100
533,2022,,,,192600,,192600,,100
534,2022,,,,266400,,266400,,100
535,2022,,,,213120,,213120,,100
536,2022,,,,112900,,112900,,100
537,2022,,,,155000,,155000,,100
538,2022,,,,141300,,141300,,0
539,2022,,,,102100,,102100,,0
540,2022,,,,115934,,115934,,100
541,2022,,,,81666,,81666,,100
542,2022,,,,206699,,206699,,0
543,2022,,,,99100,,99100,,0
544,2022,,,,130000,,130000,,100
545,2022,,,,115000,,115000,,100
546,2022,,,,110500,,110500,,100
547,2022,,,,130000,,130000,,100
548,2022,,,,99050,,99050,,100
549,2022,,,,160000,,160000,,100
550,2022,,,,205300,,205300,,0
551,2022,,,,140400,,140400,,0
552,2022,,,,176000,,176000,,100
553,2022,,,,144000,,144000,,100
554,2022,,,,200100,,200100,,100
555,2022,,,,160000,,160000,,100
556,2022,,,,145000,,145000,,100
557,2022,,,,70500,,70500,,0
558,2022,,,,205300,,205300,,0
559,2022,,,,140400,,140400,,0
560,2022,,,,205300,,205300,,0
561,2022,,,,184700,,184700,,0
562,2022,,,,175100,,175100,,100
563,2022,,,,140250,,140250,,100
564,2022,,,,116150,,116150,,100
565,2022,,,,54000,,54000,,0
566,2022,,,,170000,,170000,,100
567,2022,,,,50000,,65438,,0
568,2022,,,,80000,,80000,,100
569,2022,,,,140000,,140000,,100
570,2022,,,,210000,,210000,,100
571,2022,,,,140000,,140000,,100
572,2022,,,,100000,,100000,,100
573,2022,,,,69000,,69000,,100
574,2022,,,,210000,,210000,,100
575,2022,,,,140000,,140000,,100
576,2022,,,,210000,,210000,,100
577,2022,,,,150075,,150075,,100
578,2022,,,,100000,,100000,,100
579,2022,,,,25000,,25000,,100
580,2022,,,,126500,,126500,,100
581,2022,,,,106260,,106260,,100
582,2022,,,,220110,,220110,,100
583,2022,,,,160080,,160080,,100
584,2022,,,,105000,,105000,,100
585,2022,,,,110925,,110925,,100
586,2022,,,,35000,,45807,,0
587,2022,,,,140000,,140000,,100
588,2022,,,,99000,,99000,,0
589,2022,,,,60000,,60000,,100
590,2022,,,,192564,,192564,,100
591,2022,,,,144854,,144854,,100
592,2022,,,,230000,,230000,,100
593,2022,,,,150000,,150000,,100
594,2022,,,,150260,,150260,,100
595,2022,,,,109280,,109280,,100
596,2022,,,,210000,,210000,,100
597,2022,,,,170000,,170000,,100
598,2022,,,,160000,,160000,,100
599,2022,,,,130000,,130000,,100
600,2022,,,,67000,,67000,,0
601,2022,,,,52000,,52000,,0
602,2022,,,,154000,,154000,,100
603,2022,,,,126000,,126000,,100
604,2022,,,,129000,,129000,,0
605,2022,,,,150000,,150000,,100
606,2022,,,,200000,,200000,,100
